----  ----------  ---------  ----------  ---------  --------  ---------  --------  --------  --------  ---------  -----------  --------
      node_0      node_1     node_2      node_3     node_4    node_5     node_6    node_7    node_8    node_9     node_fake    P(t)
----  ----------  ---------  ----------  ---------  --------  ---------  --------  --------  --------  ---------  -----------  --------
t=41  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=42  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=43  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=44  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=45  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=46  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=47  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=48  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=49  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=50  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=51  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=52  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=53  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=54  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=55  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=56  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=57  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=58  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=59  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=60  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=61  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=62  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=63  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=64  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=65  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=66  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=67  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=68  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=69  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=70  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=71  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=72  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=73  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=74  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=75  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=76  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=77  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=78  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=79  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=80  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=81  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=82  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
