----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
      node_0     node_1       node_2       node_3      node_4      node_5       node_6     node_7      node_8      node_9      node_fake    P(t)
----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
t=39  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=40  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=41  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=42  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=43  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=44  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=45  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=46  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=47  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=48  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=49  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=50  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=51  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=52  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=53  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=54  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=55  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=56  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=57  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=58  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=59  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=60  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=61  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=62  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=63  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=64  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=65  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=66  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=67  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
