----  ----------  --------  -----------  -----------  ----------  -----------  ----------  ----------  -----------  -----------  -----------  --------
      node_0      node_1    node_2       node_3       node_4      node_5       node_6      node_7      node_8       node_9       node_fake    P(t)
----  ----------  --------  -----------  -----------  ----------  -----------  ----------  ----------  -----------  -----------  -----------  --------
t=39  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=40  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=41  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=42  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=43  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=44  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=45  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=46  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=47  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=48  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=49  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=50  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=51  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=52  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=53  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=54  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=55  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=56  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=57  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=58  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=59  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=60  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=61  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=62  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=63  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=64  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=65  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=66  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=67  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=68  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=69  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=70  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=71  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=72  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=73  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=74  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=75  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=76  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=77  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=78  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=79  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=80  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=81  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=82  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=83  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=84  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=85  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=86  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=87  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=88  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=89  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=90  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=91  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=92  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=93  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=94  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=95  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=96  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=97  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=98  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=99  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
----  ----------  --------  -----------  -----------  ----------  -----------  ----------  ----------  -----------  -----------  -----------  --------
