----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
      node_0       node_1     node_2    node_3       node_4       node_5     node_6       node_7       node_8       node_9    node_fake    P(t)
----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
t=39  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=40  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=41  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=42  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=43  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=44  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=45  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=46  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=47  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=48  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=49  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=50  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=51  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=52  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=53  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=54  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=55  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=56  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=57  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=58  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=59  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=60  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=61  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=62  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=63  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=64  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=65  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
