----  ----------  ---------  ----------  --------  --------  ---------  ---------  --------  --------  ---------  -----------  --------
      node_0      node_1     node_2      node_3    node_4    node_5     node_6     node_7    node_8    node_9     node_fake    P(t)
----  ----------  ---------  ----------  --------  --------  ---------  ---------  --------  --------  ---------  -----------  --------
t=41  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=42  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=43  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=44  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=45  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=46  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=47  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=48  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=49  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=50  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=51  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=52  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=53  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=54  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=55  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=56  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=57  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=58  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=59  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=60  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=61  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=62  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=63  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=64  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=65  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=66  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=67  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=68  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=69  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=70  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=71  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=72  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=73  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=74  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=75  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=76  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=77  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=78  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=79  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=80  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=81  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=82  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=83  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=84  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=85  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=86  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=87  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=88  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
